,DATE,REVIEW,star
63,2021-2-13,번호. 변경하구. 전에쓰던 구글아이디. 기계 등록 했는대. 접속이안대내. 문의해도 답장도없구. 현질 한거 돌려 주라 계정. 답장 안줄꺼면,1
64,2021-2-14,막피을 하는것도 게임에 일부분이니 이해는 합니다 만..막피하는 캐릭 패널티를 만들어주세요 막피 많이 한캐릭은 지옥시냥터에 떨어져서 경험치 깍이게 해주던지요..,1
65,2021-3-2,출시 4주년을 앞둔 리니지m를 접해보지않았거나 예전pc로하던 리니지의 추억을 떠올리려 시작해보려는 분들이 계신다면 말리고싶네요 30여년 동안 전세계에 많은 게임을 해봤지만 리니지만한 개임이 없을정도로 중독성강하고 완벽하단 생각을 합니다만 절대 건들여선 안될게임이라 생각합니다 너무완벽하다보니 이 게임의가치가 커지고 들어가는 비용이 어마어마합니다. 담배가 안좋다 생각하시는분들은 하지마세요,1
66,2021-3-2,서버내 막피가 너무 많아요.. 이유없이 죽이는데 솔직히 과금들여 게임하는데 죽어있으면 마음에상처도 남아요.. 게임에서까지 스트레스 받기는 싫습니다. 개선좀부탁드릴께요 정말 부탁드립니다.,5
67,2021-2-14,"안녕하세요 린드5섭 유저입니다 엔씨에서 제공하지 않는 외부 불법프로그램인 멀티컨트롤을 비정상적으로 반복 사용하는 유저때문에 게임에 많은 불편함을 느끼고있습니다 혼자서 불법멀티를 사용해 3팟~4팟으로 썰자를 다니고 있습니다 장병현.장미희.장설희.장희철.장소아.장가희.강가희.장희성.김효진.장유진.양종식.장주영.장창연 등 혼자서 이렇듯 다수의 캐릭을 불법멀티컨트롤을 사용하고 있습니다. 안내문에도 엔씨에서 제공하지 않는 외부 불법프로그램을 사용하면 제지를 한다고 하는데 위 사용자는 신고를 해도 아무런 제지와 조치가 없습니다 위 사용자를 꼭...
전체 리뷰",5
68,2021-2-14,핸드폰을 바꾸고앱을실행시키면 왜화면이멈추면서 실행이안될까요????,1
69,2021-2-24,"뭔 pvp 점수쌓는제도가있어서 리니지란겜은 이해는 하는데 싸우기도싫고 조용히게임하는데 아침에일어나보니 자기전 자동사냥돌려놓은지 10분만에 뒷치기당해서 죽어있고 전기세 얼마 안먹겠지만 세가 아까운 게임,너무 무분별하게 학살하는듯, 80이상 pk가능 이런식으로 보완이필요함",1
70,2021-1-29,일단 과금유도는 좀심한거아시죠? 그래도 예전 추억때문도있고 역시 리니지많한 게임이없다는생각에 열심히 재미있게하고있습니다 다만부탁드이있다면 유저들을위한 혜자이벤트좀 많이했으면합니다,4
71,2021-3-15,결제 안했는데 결제 20만원되었구요 엔씨소프트 메일해보니 통신사나 수사기관 문의하라는데 통신사는 구글플레이스토어에 문의하라고 하고 사이버수사대는 주말이라 전화안됩니다 구글플레이스토어 연락처는 무늬로 만들어놨나요 전화했더니 양식 제출하라는 방법만 말해주고 양식 답변은 언제오나요 그때 답오면 20만원 환불처리기간 지나는건 아닌지..,1
72,2021-3-16,사행성의 선두주자 도박인지 게임인지..아...환전도 안되는구나 이거는 ㅋㅋ 더하네 ㅋㅋ Nc근무한다고하면 일단 거르고봄 개발자답변 은 피식거리며 복붙 이겠지ㅋ,1
73,2021-1-29,"고스펙막피들,과금러들사냥터못가는 문제점...많지만 ..옛추억에 손을놓지못하고있네요.너무과금유도가문제이긴해도 그렇저럭 소소하게 스펙업해가면서 해도 잼나네용ㅎㅎ",5
74,2021-1-30,"사전예약 쿠폰 등록했는데 보상상자가 왜 없나요... 서버, 캐릭 이름 몇번이나 확인하고 사용했는뎅..",1
75,2021-2-16,도대체 아인은 왜 있는건지.. 뭔겜이 현질 안하면 돈도 안주고 아이템 도 안뜸? 진짜 추억에 설치했다가 드러워서 삭제함,1
76,2021-2-16,스케쥴사용하는데 고대정령에서 강촐이 5분도 안되서 사용됨 아덴도 없는데ㅡㅡ이건게임을하라는건지...,2
